@RELATION CLASSES

@ATTRIBUTE atb1 NUMERIC
@ATTRIBUTE atb2 NUMERIC
@ATTRIBUTE atb3 NUMERIC
@ATTRIBUTE atb4 NUMERIC
@ATTRIBUTE atb5 NUMERIC
@ATTRIBUTE atb6 NUMERIC
@ATTRIBUTE atb7 NUMERIC
@ATTRIBUTE atb8 NUMERIC

@ATTRIBUTE class {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}

@DATA
1.614555,3.500051,1.211268,2.856911,1.726027,3.334175,1.193342,2.522576,class_1
1.057650,3.067786,1.310644,3.018308,0.235602,0.813492,1.287483,3.106747,class_1
0.824324,1.458045,0.465092,0.923297,0.236842,0.455043,0.900192,1.482340,class_1
3.827869,5.919578,3.260274,5.139499,1.592437,1.361947,2.141321,2.333552,class_1
1.920270,3.679434,1.903141,3.725677,1.049296,1.405860,0.912740,1.251622,class_1
2.500000,4.145802,1.661554,4.152139,1.888889,5.228365,2.428571,5.719521,class_1
0.740206,2.068550,0.849515,2.626171,0.287770,0.681140,1.042908,3.367526,class_1
0.530713,0.933101,0.591121,1.373520,0.452756,0.678503,0.601969,1.092332,class_1
2.108451,3.139178,2.308357,3.191761,2.364078,3.286996,1.816631,2.865213,class_1
1.746250,2.950315,1.385101,2.316373,1.759804,2.607710,2.068010,3.238296,class_1
2.040984,3.065935,1.975260,2.319115,3.284314,4.439964,2.964215,5.140057,class_1
1.150901,3.078877,1.032767,1.793365,0.613636,1.157307,1.715100,2.316490,class_1
0.196281,0.564723,0.407090,1.022628,0.284314,0.594816,0.113898,0.391371,class_1
1.832941,3.926723,3.214103,4.936422,2.345283,6.985134,1.784173,3.216629,class_1
1.377193,2.455995,1.029680,4.180465,1.262255,2.086922,1.164852,2.448387,class_1
2.636951,4.054694,2.153409,3.502319,3.169399,4.123602,2.643436,4.652173,class_1
1.156028,2.483850,1.002475,2.893744,0.993939,2.888844,1.252300,2.927409,class_1
1.737136,4.796674,2.480094,6.005380,2.161074,4.110989,2.475279,4.402835,class_1
1.593182,3.372745,1.552925,2.505006,2.683594,4.101910,1.160000,2.334687,class_1
3.063953,5.078395,3.711172,5.316517,0.058190,0.268412,3.712589,6.124252,class_1
4.205333,7.688986,2.310049,4.352788,5.144231,8.640155,3.211196,4.374187,class_1
2.340796,3.924128,2.060748,3.992230,0.184783,0.388121,1.808454,4.833998,class_1
4.211326,5.018841,4.313073,6.187581,6.327815,6.760948,5.629948,6.556709,class_1
3.621483,5.359691,3.194236,4.509930,3.906417,8.351202,3.350649,5.747927,class_1
1.931635,3.154110,1.920086,3.530198,1.970968,2.676504,1.788849,4.602132,class_1
0.903263,1.811312,0.921409,1.457362,0.791176,1.103702,0.690815,0.971192,class_1
1.992424,4.404709,1.780742,4.391983,2.965649,6.827954,1.924901,3.662422,class_1
1.918182,4.253088,1.609131,3.779532,0.893293,3.310766,1.686513,3.961712,class_1
0.666230,1.932056,0.597179,2.235183,0.033824,0.203723,0.665343,2.119616,class_1
2.420054,3.737270,2.220760,4.546650,1.780220,2.677961,2.421589,3.445157,class_1
0.984330,1.413623,1.528011,1.858413,1.028926,1.147757,1.271659,1.630628,class_1
1.935262,3.311213,2.366856,3.658973,1.184932,1.379912,1.787297,2.435996,class_1
1.545567,2.659983,1.570218,3.108690,1.915441,2.165110,1.285307,2.571915,class_1
1.696009,3.770448,1.975309,4.995245,1.830460,6.004547,1.950066,4.118817,class_2
1.500000,3.183641,1.301220,2.401879,0.170103,0.389201,0.844797,2.322477,class_2
0.831140,2.472657,0.768817,1.833176,1.053719,2.061354,0.645066,1.735644,class_2
0.970588,2.096710,0.945701,2.045687,0.119266,0.337959,1.747178,3.121933,class_2
1.306220,3.536482,1.328691,4.431218,0.263359,0.457458,0.848369,1.203818,class_2
1.293062,4.343945,1.849206,3.558805,3.526316,9.000985,0.789264,1.530123,class_2
